text,intent
Any hadith mentioning fasting?,ask_hadith
Is music allowed in Islam?,ask_ruling
Advice for someone who is lonely?,seek_advice
Salaam!,greeting
What did the Prophet say about parents?,ask_hadith
As-salamu Alaikum,greeting
Advice for someone who is anxious?,seek_advice
Is it haram to miss a fast?,ask_fatwa
What is the fatwa on zakat?,ask_fatwa
Tell me a verse about fasting.,ask_quran
Can you share a hadith on interest?,ask_hadith
What did the Prophet say about anger?,ask_hadith
What does the Qur'an say about music?,ask_quran
Can you share a hadith on charity?,ask_hadith
What is the reward of fasting?,ask_virtue
Is there an ayah related to music?,ask_quran
"Hello, brother",greeting
Tell me the benefits of truthfulness.,ask_virtue
Is there an ayah related to interest?,ask_quran
Is there a hadith about divorce?,ask_hadith
What is the reward of prayer?,ask_virtue
How should I deal with financial struggle?,seek_advice
Can you share a hadith on parents?,ask_hadith
What did the Prophet say about fasting?,ask_hadith
Am I allowed to give charity as a Muslim?,ask_fatwa
How to overcome financial struggle in an Islamic way?,seek_advice
Am I allowed to watch movies as a Muslim?,ask_fatwa
What virtues are associated with prayer?,ask_virtue
Am I allowed to eat with left hand as a Muslim?,ask_fatwa
Tell me a verse about anger.,ask_quran
Is it permissible to watch movies?,ask_fatwa
As-salamu Alaikum,greeting
Am I allowed to miss a fast as a Muslim?,ask_fatwa
What is the reward of prayer?,ask_virtue
Any hadith mentioning music?,ask_hadith
Tell me a hadith related to parents.,ask_hadith
"Hi, sister",greeting
As-salamu Alaikum,greeting
How should I deal with financial struggle?,seek_advice
Can Muslims watch movies?,ask_ruling
Can you share a hadith on fasting?,ask_hadith
Is it okay to give charity during Ramadan?,ask_ruling
What does Islam say about handling stress?,seek_advice
Can you share a hadith on charity?,ask_hadith
How should I deal with financial struggle?,seek_advice
Is it haram to eat with left hand?,ask_fatwa
What is the reward of fasting?,ask_virtue
Is there an ayah related to parents?,ask_quran
Is there a hadith about fasting?,ask_hadith
Is there a hadith about anger?,ask_hadith
Tell me the benefits of charity.,ask_virtue
What did the Prophet say about zakat?,ask_hadith
Can Muslims watch movies?,ask_ruling
Quote a verse on divorce.,ask_quran
How should I deal with stress?,seek_advice
What virtues are associated with charity?,ask_virtue
Am I allowed to miss a fast as a Muslim?,ask_fatwa
Tell me a hadith related to interest.,ask_hadith
How to overcome anger in an Islamic way?,seek_advice
How is truthfulness viewed in Islam?,ask_virtue
How to overcome stress in an Islamic way?,seek_advice
What do scholars say about music?,ask_ruling
Tell me a hadith related to music.,ask_hadith
Salaam!,greeting
Is it okay to miss a fast during Ramadan?,ask_ruling
Is it permissible to pray late?,ask_fatwa
Can Muslims eat with left hand?,ask_ruling
What does the Qur'an say about music?,ask_quran
Any hadith mentioning charity?,ask_hadith
How should I deal with anger?,seek_advice
Salaam!,greeting
Can I eat with left hand in Islam?,ask_fatwa
Tell me a verse about charity.,ask_quran
Can Muslims pray late?,ask_ruling
Advice for someone who is depressed?,seek_advice
Can you share a hadith on divorce?,ask_hadith
What is the reward of truthfulness?,ask_virtue
Peace be upon you,greeting
Is there a hadith about fasting?,ask_hadith
What is the reward of charity?,ask_virtue
What is the reward of charity?,ask_virtue
Peace be upon you,greeting
What should I do if stress?,seek_advice
Advice for someone who is angry?,seek_advice
Is there a hadith about music?,ask_hadith
Tell me the benefits of prayer.,ask_virtue
Peace be upon you,greeting
As-salamu Alaikum,greeting
"Hi, sister",greeting
Salaam!,greeting
Tell me a hadith related to interest.,ask_hadith
Is it haram to give charity?,ask_fatwa
What should I do if family issues?,seek_advice
How should I deal with sadness?,seek_advice
Give me a Qur'anic ayah about anger.,ask_quran
What virtues are associated with truthfulness?,ask_virtue
Peace be upon you,greeting
Is music allowed in Islam?,ask_ruling
Am I allowed to eat with left hand as a Muslim?,ask_fatwa
Is there a hadith about zakat?,ask_hadith
Why is truthfulness important in Islam?,ask_virtue
Can Muslims miss a fast?,ask_ruling
What do scholars say about anger?,ask_ruling
As-salamu Alaikum,greeting
Is charity allowed in Islam?,ask_ruling
As-salamu Alaikum,greeting
Advice for someone who is hopeless?,seek_advice
What is the ruling on divorce?,ask_ruling
Peace be upon you,greeting
How should I deal with financial struggle?,seek_advice
Am I allowed to eat with left hand as a Muslim?,ask_fatwa
Tell me a hadith related to parents.,ask_hadith
"Hi, sister",greeting
What did the Prophet say about charity?,ask_hadith
Why is fasting important in Islam?,ask_virtue
Can Muslims watch movies?,ask_ruling
Why is truthfulness important in Islam?,ask_virtue
Tell me the benefits of prayer.,ask_virtue
Any hadith mentioning charity?,ask_hadith
How to overcome financial struggle in an Islamic way?,seek_advice
"Hi, sister",greeting
Is there a hadith about interest?,ask_hadith
"Hello, brother",greeting
What virtues are associated with truthfulness?,ask_virtue
Is there a hadith about charity?,ask_hadith
How is forgiveness viewed in Islam?,ask_virtue
Is it haram to eat with left hand?,ask_fatwa
Is it haram to eat with left hand?,ask_fatwa
As-salamu Alaikum,greeting
What is the ruling on music?,ask_ruling
Any hadith mentioning interest?,ask_hadith
Peace be upon you,greeting
Salaam!,greeting
Advice for someone who is angry?,seek_advice
Is it okay to watch movies during Ramadan?,ask_ruling
What does the Qur'an say about anger?,ask_quran
Can I eat with left hand in Islam?,ask_fatwa
Is it okay to give charity during Ramadan?,ask_ruling
Is music allowed in Islam?,ask_ruling
